at_index,sr_index,at_year,sr_year,NHT_distance,NHT_class,AHT_distance,AHT_class,NHT_at_ph,NHT_sr_ph,AHT_at_ph,AHT_sr_ph
0,1,2021,2018,1.0,0,,,cell,egg,,
0,2,2021,2019,1.0,0,,,cell,,,
0,3,2021,2019,1.0,0,,,cell,egg,,
0,4,2021,2017,1.0,0,,,cell,cell,,
0,5,2021,2017,1.0,0,,,cell,egg,,
0,6,2021,2020,2.0,1,,,cell,cell,,
0,7,2021,2019,5.0,1,,,cell,egg,,
8,1,2021,2018,1.0,0,,,cell,egg,,
8,2,2021,2019,1.0,0,,,cell,,,
8,3,2021,2019,1.0,0,,,cell,egg,,
8,4,2021,2017,1.0,0,,,cell,cell,,
8,5,2021,2017,1.0,0,,,cell,egg,,
8,6,2021,2020,2.0,1,,,cell,cell,,
8,7,2021,2019,5.0,1,,,cell,egg,,
9,10,2011,2009,2.0,1,,,cell,cell,,
9,11,2011,2010,2.0,1,,,cell,egg,,
9,12,2011,2009,1.0,0,,,cell,cell,,
9,13,2011,2011,0.0,0,,,cell,egg,,
9,14,2011,2011,1.0,0,,,cell,egg,,
15,10,2012,2009,1.0,0,,,cell,cell,,
15,11,2012,2010,2.0,1,,,cell,egg,,
15,16,2012,2012,0.0,0,,,cell,cell,,
15,12,2012,2009,1.0,0,,,cell,cell,,
15,13,2012,2011,0.0,0,,,cell,egg,,
15,14,2012,2011,0.0,0,,,cell,egg,,
17,10,2012,2009,1.0,0,,,cell,cell,,
17,11,2012,2010,2.0,1,,,cell,egg,,
17,16,2012,2012,1.0,0,,,cell,cell,,
17,12,2012,2009,2.0,1,,,cell,cell,,
17,13,2012,2011,1.0,0,,,cell,egg,,
17,14,2012,2011,1.0,0,,,cell,egg,,
18,19,2024,2023,0.0,0,,,cell,cell,,
18,20,2024,2021,1.0,0,,,cell,cell,,
18,21,2024,2022,0.5,0,,,cell,,,
18,22,2024,2022,1.0,0,,,cell,cell,,
23,10,2016,2009,2.0,1,,,cell,cell,,
23,11,2016,2010,3.0,1,,,cell,egg,,
23,16,2016,2012,1.0,0,,,cell,cell,,
23,24,2016,2015,1.0,0,,,cell,cell,,
23,12,2016,2009,2.0,1,,,cell,cell,,
23,25,2016,2015,1.0,0,,,cell,egg,,
23,26,2016,2013,1.0,0,,,cell,egg,,
23,13,2016,2011,1.0,0,,,cell,egg,,
23,14,2016,2011,1.0,0,,,cell,egg,,
27,10,2016,2009,1.0,0,,,cell,cell,,
27,11,2016,2010,2.0,1,,,cell,egg,,
27,16,2016,2012,0.0,0,,,cell,cell,,
27,24,2016,2015,0.0,0,,,cell,cell,,
27,12,2016,2009,2.0,1,,,cell,cell,,
27,25,2016,2015,0.0,0,,,cell,egg,,
27,26,2016,2013,0.0,0,,,cell,egg,,
27,13,2016,2011,0.0,0,,,cell,egg,,
27,14,2016,2011,0.0,0,,,cell,egg,,
28,10,2016,2009,1.0,0,,,cell,cell,,
28,11,2016,2010,2.0,1,,,cell,egg,,
28,16,2016,2012,1.0,0,,,cell,cell,,
28,24,2016,2015,1.0,0,,,cell,cell,,
28,12,2016,2009,2.0,1,,,cell,cell,,
28,25,2016,2015,1.0,0,,,cell,egg,,
28,26,2016,2013,0.5,0,,,cell,egg,,
28,13,2016,2011,1.0,0,,,cell,egg,,
28,14,2016,2011,0.0,0,,,cell,egg,,
29,10,2016,2009,1.0,0,,,cell,cell,,
29,11,2016,2010,2.0,1,,,cell,egg,,
29,16,2016,2012,1.0,0,,,cell,cell,,
29,24,2016,2015,1.0,0,,,cell,cell,,
29,12,2016,2009,2.0,1,,,cell,cell,,
29,25,2016,2015,1.0,0,,,cell,egg,,
29,26,2016,2013,1.0,0,,,cell,egg,,
29,13,2016,2011,1.0,0,,,cell,egg,,
29,14,2016,2011,0.0,0,,,cell,egg,,
30,10,2016,2009,1.0,0,,,cell,cell,,
30,11,2016,2010,2.0,1,,,cell,egg,,
30,16,2016,2012,0.0,0,,,cell,cell,,
30,24,2016,2015,0.0,0,,,cell,cell,,
30,12,2016,2009,1.0,0,,,cell,cell,,
30,25,2016,2015,0.0,0,,,cell,egg,,
30,26,2016,2013,1.0,0,,,cell,egg,,
30,13,2016,2011,1.0,0,,,cell,egg,,
30,14,2016,2011,1.0,0,,,cell,egg,,
31,10,2016,2009,0.0,0,,,cell,cell,,
31,11,2016,2010,2.0,1,,,cell,egg,,
31,16,2016,2012,0.0,0,,,cell,cell,,
31,24,2016,2015,0.0,0,,,cell,cell,,
31,12,2016,2009,1.0,0,,,cell,cell,,
31,25,2016,2015,0.0,0,,,cell,egg,,
31,26,2016,2013,1.0,0,,,cell,egg,,
31,13,2016,2011,1.0,0,,,cell,egg,,
31,14,2016,2011,1.0,0,,,cell,egg,,
32,10,2016,2009,1.0,0,,,cell,cell,,
32,11,2016,2010,2.0,1,,,cell,egg,,
32,16,2016,2012,1.0,0,,,cell,cell,,
32,24,2016,2015,1.0,0,,,cell,cell,,
32,12,2016,2009,2.0,1,,,cell,cell,,
32,25,2016,2015,1.0,0,,,cell,egg,,
32,26,2016,2013,1.0,0,,,cell,egg,,
32,13,2016,2011,1.0,0,,,cell,egg,,
32,14,2016,2011,1.0,0,,,cell,egg,,
33,10,2016,2009,0.0,0,,,cell,cell,,
33,11,2016,2010,2.0,1,,,cell,egg,,
33,16,2016,2012,1.0,0,,,cell,cell,,
33,24,2016,2015,0.0,0,,,cell,cell,,
33,12,2016,2009,1.0,0,,,cell,cell,,
33,25,2016,2015,0.0,0,,,cell,egg,,
33,26,2016,2013,1.0,0,,,cell,egg,,
33,13,2016,2011,0.0,0,,,cell,egg,,
33,14,2016,2011,1.0,0,,,cell,egg,,
34,10,2016,2009,1.0,0,,,cell,cell,,
34,11,2016,2010,2.0,1,,,cell,egg,,
34,16,2016,2012,1.0,0,,,cell,cell,,
34,24,2016,2015,1.0,0,,,cell,cell,,
34,12,2016,2009,1.0,0,,,cell,cell,,
34,25,2016,2015,0.0,0,,,cell,egg,,
34,26,2016,2013,1.0,0,,,cell,egg,,
34,13,2016,2011,1.0,0,,,cell,egg,,
34,14,2016,2011,1.0,0,,,cell,egg,,
35,10,2016,2009,1.0,0,,,cell,cell,,
35,11,2016,2010,2.0,1,,,cell,egg,,
35,16,2016,2012,1.0,0,,,cell,cell,,
35,24,2016,2015,1.0,0,,,cell,cell,,
35,12,2016,2009,2.0,1,,,cell,cell,,
35,25,2016,2015,1.0,0,,,cell,egg,,
35,26,2016,2013,1.0,0,,,cell,egg,,
35,13,2016,2011,2.0,1,,,cell,egg,,
35,14,2016,2011,1.0,0,,,cell,egg,,
36,10,2016,2009,1.0,0,,,cell,cell,,
36,11,2016,2010,2.0,1,,,cell,egg,,
36,16,2016,2012,1.0,0,,,cell,cell,,
36,24,2016,2015,1.0,0,,,cell,cell,,
36,12,2016,2009,2.0,1,,,cell,cell,,
36,25,2016,2015,0.0,0,,,cell,egg,,
36,26,2016,2013,1.0,0,,,cell,egg,,
36,13,2016,2011,0.0,0,,,cell,egg,,
36,14,2016,2011,0.0,0,,,cell,egg,,
37,10,2016,2009,1.0,0,,,cell,cell,,
37,11,2016,2010,2.0,1,,,cell,egg,,
37,16,2016,2012,1.0,0,,,cell,cell,,
37,24,2016,2015,1.0,0,,,cell,cell,,
37,12,2016,2009,1.0,0,,,cell,cell,,
37,25,2016,2015,0.0,0,,,cell,egg,,
37,26,2016,2013,1.0,0,,,cell,egg,,
37,13,2016,2011,1.0,0,,,cell,egg,,
37,14,2016,2011,1.0,0,,,cell,egg,,
38,10,2016,2009,1.0,0,,,cell,cell,,
38,11,2016,2010,2.0,1,,,cell,egg,,
38,16,2016,2012,1.0,0,,,cell,cell,,
38,24,2016,2015,1.0,0,,,cell,cell,,
38,12,2016,2009,2.0,1,,,cell,cell,,
38,25,2016,2015,1.0,0,,,cell,egg,,
38,26,2016,2013,1.0,0,,,cell,egg,,
38,13,2016,2011,1.0,0,,,cell,egg,,
38,14,2016,2011,1.0,0,,,cell,egg,,
39,10,2015,2009,1.0,0,,,cell,cell,,
39,11,2015,2010,3.0,1,,,cell,egg,,
